Date,SO2 (ppb),O3 (ppb),PM 2.5  (μg/m 3 ),NO2 (ppb)
2016/06/10,2.5,24.3,0.0,10.51
2016/06/10,0.0,0.0,8,0.0
2016/06/09,0.0,0.0,15,0.0
2016/06/09,2.7,38.9,0.0,10.62
2016/06/08,2.6,34.9,0.0,14.11
2016/06/08,0.0,0.0,18,0.0
2016/06/07,0.0,0.0,11,0.0
2016/06/07,4,28.1,0.0,14.1
2016/06/06,2.1,11.1,0.0,15.93
2016/06/06,0.0,0.0,10,0.0
2016/06/05,0.0,0.0,12,0.0
2016/06/05,1.9,21.1,0.0,9.75
2016/06/04,0.0,0.0,14,0.0
2016/06/04,1.7,22.5,0.0,9.07
2016/06/03,2.1,23,0.0,9.17
2016/06/03,0.0,0.0,14,0.0
2016/06/02,0.0,0.0,16,0.0
2016/06/02,2,22.7,0.0,8.47
2016/06/01,0.0,0.0,10,0.0
2016/06/01,1.8,20,0.0,7.53
2016/05/31,0.0,0.0,10,0.0
2016/05/31,2.1,20.3,0.0,9.17
2016/05/30,0.0,0.0,11,0.0
2016/05/30,1.7,20.9,0.0,9.09
2016/05/29,0.0,0.0,13,0.0
2016/05/29,2.1,22,0.0,7.15
2016/05/28,0.0,0.0,9,0.0
2016/05/28,1.8,24.2,0.0,8.22
2016/05/27,2.9,34.6,0.0,10.94
2016/05/27,0.0,0.0,18,0.0
2016/05/26,0.0,0.0,34,0.0
2016/05/26,4.1,39.6,0.0,18.12
2016/05/25,4.4,28.6,0.0,19.62
2016/05/25,0.0,0.0,31,0.0
2016/05/24,2.9,29,0.0,14.6
2016/05/24,0.0,0.0,16,0.0
2016/05/23,0.0,0.0,10,0.0
2016/05/23,3,23.6,0.0,15.81
2016/05/22,0.0,0.0,14,0.0
2016/05/22,1.9,18,0.0,13.66
2016/05/21,0.0,0.0,57,0.0
2016/05/21,2.8,22.7,0.0,26.97
2016/05/20,3.7,28.4,0.0,26.96
2016/05/20,0.0,0.0,37,0.0
2016/05/19,0.0,0.0,30,0.0
2016/05/19,2.5,43.2,0.0,21.06
2016/05/18,0.0,0.0,23,0.0
