序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","總碳氫化合物 THC (ppm)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","風速 WIND_SPEED (m/sec)","小時風速值 WS_HR (m/sec)","溫度 AMB_TEMP (℃)","大氣溫度 AMB_TEMP (℃)","相對濕度 RH (percent)","空氣污染指標PSI PSI"
2968,臺中市,2011/10/07,大里,2.5,0.58,412.45,33.9,76,46,29.0,30.44,5.16,25.28,-,2.201,0.31,1.9,-,-,-,27.0,64.72,80.0
2969,臺中市,2011/10/06,大里,2.4,0.5,409.77,34.4,72,46,34.0,25.9,3.07,22.83,-,2.155,0.27,1.89,-,-,-,27.05,66.32,73.0
2970,臺中市,2011/10/05,大里,1.5,0.54,408.83,33.6,79,37,28.0,26.52,3.99,22.53,-,2.17,0.28,1.89,-,-,-,27.36,66.01,77.0
2971,臺中市,2011/10/04,大里,1.2,0.32,397.61,40.8,64,14,13.0,17.03,1.82,15.2,-,1.962,0.15,1.81,-,-,-,26.13,64.7,61.0
2972,臺中市,2011/10/03,大里,0.9,0.32,390.56,41.7,48,12,10.0,15.09,2.26,12.82,-,1.918,0.11,1.8,-,-,-,25.21,66.54,49.0
2973,臺中市,2011/10/02,大里,1.9,0.41,400.09,24.4,30,31,20.0,21.49,2.06,19.42,-,2.063,0.19,1.88,-,-,-,25.62,72.14,33.0
2974,臺中市,2011/10/01,大里,0.9,0.34,391.81,35.0,71,31,19.0,16.93,1.78,15.14,-,1.956,0.16,1.79,-,-,-,28.76,67.32,72.0
2975,臺中市,2011/09/30,大里,3.6,0.38,401.09,35.5,67,61,32.0,20.12,1.74,18.38,-,2.016,0.2,1.81,-,-,-,29.46,69.17,76.0
2976,臺中市,2011/09/29,大里,4.7,0.5,416.37,28.6,63,71,30.0,24.78,5.65,19.13,-,2.117,0.28,1.84,-,-,-,29.62,68.6,64.0
2977,臺中市,2011/09/28,大里,5.4,0.73,425.68,26.3,45,101,52.0,32.7,6.13,26.57,-,2.464,0.52,1.95,-,-,-,28.48,73.19,76.0
2978,臺中市,2011/09/27,大里,3.6,0.56,406.09,35.4,91,61,25.0,32.19,7.63,24.56,-,2.296,0.4,1.9,-,-,-,29.48,68.0,91.0
2979,臺中市,2011/09/26,大里,3.9,0.6,420.24,28.9,93,64,31.0,30.43,7.51,22.93,-,2.271,0.3,1.97,-,-,-,29.81,68.71,91.0
2980,臺中市,2011/09/25,大里,2.6,0.48,407.45,37.7,92,65,28.0,25.38,3.42,21.96,-,2.142,0.22,1.93,-,-,-,28.97,69.92,98.0
2981,臺中市,2011/09/24,大里,1.3,0.48,402.44,30.6,61,49,25.0,28.19,3.62,24.56,-,2.139,0.24,1.9,-,-,-,27.2,66.48,68.0
2982,臺中市,2011/09/23,大里,2.7,0.49,399.61,45.3,80,50,31.0,26.61,2.88,23.73,-,2.119,0.22,1.9,-,-,-,27.24,58.88,78.0
2983,臺中市,2011/09/22,大里,3.2,0.56,403.8,50.9,94,69,39.0,26.04,2.25,23.79,-,2.157,0.23,1.93,-,-,-,27.36,59.84,98.0
2984,臺中市,2011/09/21,大里,2.8,0.58,405.01,37.4,69,65,36.0,26.2,3.03,23.17,-,2.197,0.25,1.95,-,-,-,26.57,59.42,67.0
2985,臺中市,2011/09/20,大里,3.1,0.56,410.55,41.8,72,72,33.0,26.87,2.94,23.94,-,2.221,0.26,1.96,-,-,-,27.52,61.4,69.0
2986,臺中市,2011/09/19,大里,3.2,0.5,408.19,41.0,86,64,36.0,22.46,2.35,20.1,-,2.101,0.21,1.9,-,-,-,29.02,59.62,85.0
2987,臺中市,2011/09/18,大里,2.4,0.45,416.6,37.4,68,57,30.0,18.04,1.92,16.11,-,2.066,0.19,1.88,-,-,-,30.06,59.68,60.0
2988,臺中市,2011/09/17,大里,3.2,0.5,424.01,40.7,80,65,31.0,21.92,2.06,19.86,-,2.156,0.29,1.87,-,-,-,29.21,65.66,82.0
2989,臺中市,2011/09/16,大里,3.8,0.56,436.39,41.4,88,63,30.0,24.09,2.92,21.17,-,2.226,0.3,1.93,-,-,-,29.64,66.4,82.0
2990,臺中市,2011/09/15,大里,4.2,0.57,431.48,50.2,86,75,44.0,20.72,2.13,18.59,-,2.203,0.29,1.91,-,-,-,29.09,70.33,90.0
2991,臺中市,2011/09/14,大里,4.2,0.6,427.47,42.2,85,60,27.0,21.09,2.49,18.61,-,2.245,0.35,1.89,-,-,-,29.08,69.96,88.0
2992,臺中市,2011/09/13,大里,2.9,0.57,419.36,32.6,68,49,21.0,20.72,2.98,17.74,-,2.167,0.32,1.85,-,-,-,28.65,69.3,85.0
2993,臺中市,2011/09/12,大里,2.8,0.46,415.74,36.5,64,57,27.0,14.54,1.87,12.67,-,1.982,0.12,1.86,-,-,-,28.87,68.34,63.0
2994,臺中市,2011/09/11,大里,2.4,0.6,421.87,42.7,73,59,39.0,17.43,1.75,15.68,-,2.111,0.17,1.95,-,-,-,28.59,68.64,78.0
2995,臺中市,2011/09/10,大里,1.2,0.62,410.85,57.4,87,83,52.0,16.98,1.2,15.78,-,2.199,0.25,1.95,-,-,-,29.58,69.24,102.0
2996,臺中市,2011/09/09,大里,5.3,0.69,421.77,46.7,91,105,58.0,24.33,2.3,22.03,-,2.262,0.28,1.98,-,-,-,29.93,68.7,88.0
2997,臺中市,2011/09/08,大里,4.4,0.65,415.59,57.0,92,96,53.0,21.15,2.23,18.92,-,2.235,0.29,1.95,-,-,-,29.45,64.7,92.0
2998,臺中市,2011/09/07,大里,6.4,0.64,424.49,61.1,96,93,56.0,22.71,2.42,20.29,-,2.265,0.25,2.02,-,-,-,29.08,64.67,93.0
2999,臺中市,2011/09/06,大里,5.4,0.65,417.21,67.1,107,108,62.0,22.92,1.61,21.31,-,2.315,0.28,2.04,-,-,-,29.43,62.41,106.0
3000,臺中市,2011/09/05,大里,3.7,0.6,411.11,64.9,108,114,59.0,18.74,0.85,17.87,-,2.295,0.21,2.08,-,-,-,30.0,63.57,112.0
3001,臺中市,2011/09/04,大里,2.9,0.57,425.69,52.4,98,89,54.0,19.83,3.63,16.2,-,2.452,0.19,2.26,-,-,-,30.0,65.88,94.0
3002,臺中市,2011/09/03,大里,1.5,0.56,420.7,43.0,81,61,40.0,18.85,2.98,15.87,-,2.402,0.25,2.16,-,-,-,29.25,67.72,85.0
3003,臺中市,2011/09/02,大里,1.3,0.64,412.17,27.6,54,49,25.0,22.02,2.87,19.18,-,2.441,0.36,2.09,-,-,-,27.65,74.57,54.0
3004,臺中市,2011/09/01,大里,1.9,0.69,417.38,26.8,57,48,21.0,25.21,7.15,18.07,-,2.525,0.43,2.1,-,-,-,26.77,72.99,59.0
3005,臺中市,2011/08/31,大里,4.3,0.61,400.35,19.1,30,33,17.0,27.08,11.15,15.93,-,2.491,0.53,1.96,-,-,-,26.09,73.9,34.0
3006,臺中市,2011/08/30,大里,1.0,0.41,398.03,18.0,27,25,15.0,15.97,4.39,11.58,-,2.12,0.23,1.89,-,-,-,26.39,75.18,32.0
3007,臺中市,2011/08/29,大里,1.4,0.67,427.72,9.1,19,33,17.0,28.03,10.92,17.11,-,2.586,0.45,2.14,-,-,-,27.22,73.19,33.0
3008,臺中市,2011/08/28,大里,-,0.62,445.76,12.9,23,43,23.0,21.98,6.22,15.76,-,2.348,0.3,2.05,-,-,-,27.13,74.67,43.0
3009,臺中市,2011/08/27,大里,1.0,0.41,430.36,38.8,77,50,34.0,16.0,1.97,14.04,-,2.179,0.21,1.97,-,-,-,29.32,67.46,86.0
3010,臺中市,2011/08/26,大里,0.0,0.41,426.99,44.9,98,50,30.0,15.27,1.7,13.56,-,2.072,0.25,1.82,-,-,-,29.5,65.52,98.0
3011,臺中市,2011/08/25,大里,1.2,0.45,435.56,36.7,54,35,22.0,20.58,3.63,16.95,-,2.137,0.27,1.87,-,-,-,29.12,67.22,51.0
3012,臺中市,2011/08/24,大里,3.4,0.31,412.33,-,39,-,-,15.07,2.5,12.59,-,2.102,0.29,1.82,-,-,-,28.12,71.74,40.0
3013,臺中市,2011/08/23,大里,3.0,0.31,407.45,28.8,60,27,19.0,16.85,3.58,13.26,-,2.059,0.2,1.86,-,-,-,29.71,62.93,62.0
3014,臺中市,2011/08/22,大里,3.4,0.37,411.88,35.8,71,61,31.0,13.48,1.53,11.94,-,2.082,0.18,1.9,-,-,-,29.66,63.84,76.0
3015,臺中市,2011/08/21,大里,4.9,0.36,415.35,32.3,62,54,32.0,15.13,1.53,13.6,-,1.984,0.11,1.87,-,-,-,29.85,64.43,69.0
3016,臺中市,2011/08/20,大里,5.3,0.4,414.22,29.2,61,48,31.0,19.43,3.04,16.39,-,2.106,0.19,1.92,-,-,-,29.65,66.88,87.0
3017,臺中市,2011/08/19,大里,3.8,0.34,407.71,25.9,48,36,18.0,17.42,3.17,14.25,-,2.092,0.21,1.89,-,-,-,29.4,64.39,56.0
3018,臺中市,2011/08/18,大里,5.1,0.3,413.08,23.9,51,26,16.0,17.58,5.14,12.44,-,2.026,0.15,1.87,-,-,-,30.17,63.14,66.0
3019,臺中市,2011/08/17,大里,3.7,0.25,405.75,27.2,59,26,17.0,11.89,2.52,9.36,-,1.958,0.13,1.83,-,-,-,30.0,61.74,62.0
3020,臺中市,2011/08/16,大里,3.6,0.26,408.2,23.5,50,28,15.0,12.17,2.81,9.35,-,2.025,0.15,1.87,-,-,-,30.04,64.22,56.0
3021,臺中市,2011/08/15,大里,3.2,0.26,408.16,19.3,42,29,14.0,13.85,4.67,9.18,-,2.011,0.14,1.87,-,-,-,30.06,67.2,46.0
3022,臺中市,2011/08/14,大里,2.1,0.28,408.38,18.9,38,29,18.0,10.5,2.82,7.67,-,1.972,0.11,1.86,-,-,-,29.84,65.67,44.0
3023,臺中市,2011/08/13,大里,1.5,0.31,408.3,21.4,43,32,15.0,11.78,2.76,9.02,-,2.013,0.13,1.88,-,-,-,29.07,66.12,43.0
3024,臺中市,2011/08/12,大里,2.0,0.39,416.22,21.9,43,25,15.0,17.71,4.32,13.39,-,2.118,0.18,1.94,-,-,-,27.83,71.23,44.0
3025,臺中市,2011/08/11,大里,3.1,0.37,415.18,31.6,62,26,16.0,15.47,3.24,12.22,-,2.142,0.26,1.89,-,-,-,27.68,72.96,63.0
3026,臺中市,2011/08/10,大里,2.2,0.38,414.6,27.9,50,27,17.0,15.1,2.17,12.91,-,2.137,0.22,1.92,-,-,-,27.6,74.58,50.0
3027,臺中市,2011/08/09,大里,2.5,0.42,412.94,28.6,53,24,12.0,15.39,1.68,13.71,-,2.157,0.29,1.86,-,-,-,28.15,70.98,61.0
3028,臺中市,2011/08/08,大里,2.1,0.35,399.62,26.5,43,25,16.0,13.49,2.21,11.29,-,2.076,0.21,1.87,-,-,-,28.15,74.51,50.0
3029,臺中市,2011/08/07,大里,2.2,0.26,397.78,26.8,40,32,20.0,8.56,0.95,7.6,-,1.928,0.07,1.86,-,-,-,30.52,64.06,38.0
3030,臺中市,2011/08/06,大里,2.3,0.36,411.32,28.3,49,37,19.0,14.76,2.73,12.03,-,2.112,0.24,1.88,-,-,-,28.74,68.58,51.0
3031,臺中市,2011/08/05,大里,2.7,0.3,403.33,23.0,41,45,22.0,15.53,2.5,13.03,-,2.025,0.19,1.84,-,-,-,30.0,64.12,45.0
3032,臺中市,2011/08/04,大里,3.5,0.46,400.94,44.8,78,55,33.0,16.91,2.77,14.13,-,2.034,0.2,1.84,-,-,-,30.48,64.72,82.0
3033,臺中市,2011/08/03,大里,4.4,0.47,414.31,48.3,75,61,34.0,17.21,2.32,14.9,-,2.102,0.21,1.89,-,-,-,30.15,66.0,76.0
3034,臺中市,2011/08/02,大里,6.5,0.43,412.78,29.5,41,56,34.0,21.14,3.53,17.64,-,2.022,0.18,1.84,-,-,-,30.65,67.84,53.0
3035,臺中市,2011/08/01,大里,4.6,0.37,409.06,24.6,53,45,26.0,19.7,4.52,15.18,-,1.993,0.15,1.84,-,-,-,31.33,67.87,55.0
3036,臺中市,2011/07/31,大里,2.3,0.29,410.07,29.2,52,33,16.0,11.79,1.89,9.91,-,1.948,0.1,1.84,-,-,-,30.87,66.17,50.0
3037,臺中市,2011/07/30,大里,2.3,0.32,413.02,26.1,52,31,19.0,15.17,3.48,11.69,-,2.007,0.15,1.85,-,-,-,30.41,65.32,54.0
3038,臺中市,2011/07/29,大里,3.3,0.33,417.69,35.4,64,44,27.0,14.26,2.25,12.0,-,2.049,0.18,1.87,-,-,-,31.52,65.02,71.0
3039,臺中市,2011/07/28,大里,4.2,0.43,422.44,45.6,96,52,30.0,18.7,2.3,16.4,-,2.134,0.21,1.93,-,-,-,32.02,65.76,98.0
3040,臺中市,2011/07/27,大里,3.2,0.36,409.01,26.8,48,29,17.0,16.35,2.48,13.87,-,2.1,0.26,1.84,-,-,-,31.74,60.35,48.0
3041,臺中市,2011/07/26,大里,2.6,0.33,410.07,19.5,30,28,21.0,15.44,3.64,11.8,-,2.005,0.16,1.84,-,-,-,31.42,62.09,31.0
3042,臺中市,2011/07/25,大里,4.2,0.31,399.65,27.2,49,47,24.0,13.16,2.12,11.04,-,2.03,0.13,1.9,-,-,-,30.99,69.86,56.0
3043,臺中市,2011/07/24,大里,3.8,0.26,403.7,28.6,61,40,25.0,12.28,2.65,9.63,-,2.003,0.08,1.92,-,-,-,32.16,64.21,73.0
3044,臺中市,2011/07/23,大里,1.7,0.26,397.22,25.0,51,31,18.0,13.42,3.18,10.24,-,2.076,0.13,1.95,-,-,-,31.64,65.62,61.0
3045,臺中市,2011/07/22,大里,2.0,0.31,402.75,21.5,40,32,17.0,14.35,2.71,11.64,-,2.121,0.19,1.94,-,-,-,30.61,70.15,41.0
3046,臺中市,2011/07/21,大里,3.0,0.43,398.19,15.1,27,27,18.0,18.5,6.13,12.37,-,2.15,0.29,1.86,-,-,-,28.5,75.56,39.0
3047,臺中市,2011/07/20,大里,2.8,0.37,386.74,17.0,24,24,9.0,16.41,5.99,10.42,-,2.13,0.31,1.82,-,-,-,28.14,75.81,27.0
3048,臺中市,2011/07/19,大里,2.5,0.33,380.11,29.1,45,29,19.0,11.41,2.57,8.83,-,2.013,0.17,1.84,-,-,-,28.31,78.76,48.0
3049,臺中市,2011/07/18,大里,2.5,0.3,384.34,27.5,38,23,13.0,11.51,2.94,8.56,-,1.945,0.1,1.84,-,-,-,29.59,71.16,38.0
3050,臺中市,2011/07/17,大里,2.2,0.32,397.64,16.2,28,23,12.0,12.66,2.65,10.01,-,1.997,0.16,1.84,-,-,-,28.78,72.86,30.0
3051,臺中市,2011/07/16,大里,2.5,0.33,397.77,20.1,36,20,13.0,12.82,2.84,9.99,-,1.994,0.2,1.8,-,-,-,29.52,66.93,42.0
3052,臺中市,2011/07/15,大里,1.9,0.35,397.84,22.1,36,20,13.0,13.41,3.21,10.2,-,1.973,0.18,1.79,-,-,-,29.15,68.0,32.0
3053,臺中市,2011/07/14,大里,2.4,0.39,405.65,25.1,55,22,11.0,16.55,2.57,13.98,-,2.137,0.31,1.83,-,-,-,27.76,75.54,71.0
3054,臺中市,2011/07/13,大里,2.6,0.36,399.51,18.2,33,19,14.0,17.61,3.67,13.94,-,2.114,0.31,1.8,-,-,-,28.06,76.36,40.0
3055,臺中市,2011/07/12,大里,3.5,0.41,413.18,24.3,42,27,15.0,16.74,2.44,14.3,-,2.076,0.25,1.82,-,-,-,28.57,75.66,40.0
3056,臺中市,2011/07/11,大里,3.3,0.46,408.01,29.8,51,34,18.0,19.24,2.29,16.95,-,2.215,0.34,1.88,-,-,-,28.79,74.97,60.0
3057,臺中市,2011/07/10,大里,2.5,0.36,398.33,33.1,47,51,39.0,13.68,1.7,11.98,-,1.908,0.11,1.8,-,-,-,30.56,68.98,57.0
3058,臺中市,2011/07/09,大里,3.2,0.3,399.61,27.8,52,56,29.0,12.65,2.08,10.56,-,1.924,0.14,1.78,-,-,-,31.69,62.77,55.0
3059,臺中市,2011/07/08,大里,3.4,0.41,400.72,27.6,52,79,54.0,14.2,2.42,11.77,-,2.0,0.21,1.79,-,-,-,31.78,61.09,64.0
3060,臺中市,2011/07/07,大里,3.8,0.4,408.58,25.0,40,72,48.0,15.53,2.01,13.53,-,2.0,0.2,1.8,-,-,-,31.16,63.37,61.0
3061,臺中市,2011/07/06,大里,3.5,0.31,402.68,21.5,43,50,28.0,13.64,2.11,11.53,-,1.933,0.17,1.76,-,-,-,31.04,64.72,50.0
3062,臺中市,2011/07/05,大里,3.6,0.34,404.79,24.8,50,44,28.0,14.23,2.81,11.42,-,1.92,0.15,1.77,-,-,-,31.61,62.9,50.0
3063,臺中市,2011/07/04,大里,3.5,0.27,398.53,21.0,36,39,-,12.54,2.58,9.96,-,1.877,0.14,1.74,-,-,-,31.95,64.96,39.0
3064,臺中市,2011/07/03,大里,2.5,0.27,411.14,20.1,39,34,-,12.18,2.81,9.37,-,1.847,0.08,1.77,-,-,-,31.25,64.69,39.0
3065,臺中市,2011/07/02,大里,2.6,0.34,416.72,23.1,48,37,-,16.78,3.98,12.79,-,1.977,0.2,1.78,-,-,-,29.97,69.06,53.0
3066,臺中市,2011/07/01,大里,2.9,0.32,408.77,18.1,41,32,-,16.7,4.35,12.35,-,1.929,0.17,1.76,-,-,-,30.65,64.08,52.0
3067,臺中市,2011/06/30,大里,3.5,0.31,408.67,27.0,56,33,21.0,16.5,2.86,13.64,-,1.955,0.19,1.76,-,-,-,30.3,68.46,55.0
3068,臺中市,2011/06/29,大里,3.0,0.4,421.4,20.0,42,36,17.0,18.7,3.74,14.96,-,2.108,0.33,1.78,-,-,-,28.04,73.15,64.0
3069,臺中市,2011/06/28,大里,2.6,0.39,413.54,14.1,21,27,14.0,18.17,4.7,13.45,-,1.991,0.22,1.77,-,-,-,26.72,78.18,27.0
3070,臺中市,2011/06/27,大里,2.5,0.35,419.64,22.7,45,27,13.0,15.88,2.59,13.29,-,2.033,0.25,1.78,-,-,-,28.97,75.54,51.0
3071,臺中市,2011/06/26,大里,2.8,0.27,405.4,24.4,37,29,15.0,11.99,2.26,9.73,-,1.843,0.1,1.75,-,-,-,29.85,71.23,36.0
3072,臺中市,2011/06/25,大里,2.9,0.29,403.18,14.9,21,26,13.0,15.43,3.0,12.42,-,1.972,0.23,1.74,-,-,-,28.2,75.98,26.0
3073,臺中市,2011/06/24,大里,3.8,0.38,426.89,36.5,82,50,30.0,20.01,3.07,16.94,-,1.99,0.19,1.8,-,-,-,31.11,65.48,82.0
3074,臺中市,2011/06/23,大里,2.3,0.39,423.2,37.1,64,43,25.0,15.91,1.96,13.96,-,2.061,0.24,1.82,-,-,-,32.02,62.32,72.0
3075,臺中市,2011/06/22,大里,3.3,0.58,428.96,27.3,57,47,24.0,23.68,3.35,20.33,-,2.271,0.44,1.83,-,-,-,29.84,71.64,56.0
3076,臺中市,2011/06/21,大里,4.0,0.45,409.64,27.9,48,55,31.0,19.27,2.51,16.76,-,2.124,0.32,1.81,-,-,-,29.79,73.84,52.0
3077,臺中市,2011/06/20,大里,3.6,0.34,410.17,30.0,62,35,21.0,17.42,2.79,14.63,-,1.958,0.16,1.8,-,-,-,31.8,64.65,66.0
3078,臺中市,2011/06/19,大里,4.6,0.29,409.06,26.2,54,31,17.0,16.38,3.98,12.4,-,1.872,0.1,1.77,-,-,-,31.76,65.78,57.0
3079,臺中市,2011/06/18,大里,2.2,0.27,410.4,24.2,49,34,18.0,13.39,2.12,11.27,-,1.926,0.17,1.76,-,-,-,31.55,67.27,53.0
3080,臺中市,2011/06/17,大里,4.5,0.43,412.96,28.3,53,39,23.0,19.93,2.14,17.79,-,2.018,0.23,1.79,-,-,-,31.71,67.57,58.0
3081,臺中市,2011/06/16,大里,5.1,0.35,409.53,23.2,50,33,21.0,20.24,4.37,15.86,-,1.961,0.19,1.77,-,-,-,31.96,61.83,52.0
3082,臺中市,2011/06/15,大里,2.7,0.32,402.74,23.5,45,33,20.0,15.31,2.95,12.36,-,1.893,0.14,1.75,-,-,-,32.16,59.88,51.0
3083,臺中市,2011/06/14,大里,2.4,0.28,404.7,21.5,37,29,17.0,13.88,2.5,11.37,-,1.917,0.17,1.75,-,-,-,31.56,63.66,35.0
3084,臺中市,2011/06/13,大里,3.2,0.28,408.25,19.7,40,28,15.0,15.22,3.84,11.38,-,1.861,0.12,1.74,-,-,-,31.59,66.99,42.0
3085,臺中市,2011/06/12,大里,2.0,0.25,408.18,19.4,35,25,17.0,12.49,2.47,10.03,-,1.82,0.08,1.74,-,-,-,31.71,62.48,34.0
3086,臺中市,2011/06/11,大里,2.6,0.29,419.48,21.8,40,38,16.0,15.04,3.33,11.7,-,1.94,0.17,1.77,-,-,-,31.23,64.13,41.0
3087,臺中市,2011/06/10,大里,3.3,0.38,423.34,28.0,60,41,20.0,19.41,3.18,16.23,-,2.094,0.3,1.8,-,-,-,31.23,65.8,69.0
3088,臺中市,2011/06/09,大里,3.9,0.31,411.94,27.4,54,31,18.0,16.25,2.66,13.59,-,1.939,0.18,1.76,-,-,-,31.61,64.52,53.0
3089,臺中市,2011/06/08,大里,3.1,0.25,405.52,11.3,22,26,16.0,15.84,4.63,11.21,-,1.947,0.19,1.76,-,-,-,31.82,62.04,27.0
3090,臺中市,2011/06/07,大里,2.2,0.26,402.81,14.9,31,27,13.0,14.21,3.85,10.36,-,-,-,-,-,-,-,31.52,62.93,32.0
3091,臺中市,2011/06/06,大里,2.2,0.3,410.92,18.2,35,31,21.0,13.19,3.27,9.92,-,-,-,-,-,-,-,31.43,62.9,36.0
3092,臺中市,2011/06/05,大里,3.2,0.38,417.67,25.9,47,48,34.0,15.44,3.1,12.34,-,-,-,-,-,-,-,30.85,65.09,57.0
3093,臺中市,2011/06/04,大里,2.5,0.45,415.63,41.7,73,75,46.0,15.48,2.06,13.42,-,2.03,0.15,1.88,-,-,-,29.8,67.9,75.0
3094,臺中市,2011/06/03,大里,4.0,0.52,429.2,32.1,54,63,39.0,22.12,2.61,19.51,-,2.112,0.25,1.86,-,-,-,28.77,71.41,56.0
3095,臺中市,2011/06/02,大里,2.9,0.5,421.7,27.5,51,45,24.0,24.04,4.74,19.3,-,2.147,0.29,1.86,-,-,-,28.28,66.39,56.0
3096,臺中市,2011/06/01,大里,3.9,0.49,422.72,30.4,51,47,28.0,22.88,3.85,19.03,-,2.188,0.31,1.88,-,-,-,28.7,66.38,54.0
3097,臺中市,2011/05/31,大里,5.3,0.67,438.9,41.3,79,84,54.0,28.65,2.76,25.89,-,2.342,0.36,1.99,-,-,-,28.17,64.63,80.0
3098,臺中市,2011/05/30,大里,5.4,0.65,440.98,49.6,103,84,52.0,29.92,3.31,26.61,-,2.324,0.32,2.0,-,-,-,26.68,64.43,112.0
3099,臺中市,2011/05/29,大里,2.2,0.49,421.87,47.1,88,51,31.0,23.73,3.15,20.58,-,2.11,0.18,1.93,-,-,-,26.24,57.54,83.0
3100,臺中市,2011/05/28,大里,1.2,0.39,407.97,43.3,54,25,15.0,15.86,2.49,13.36,-,1.935,0.11,1.83,-,-,-,25.72,67.14,48.0
3101,臺中市,2011/05/27,大里,3.4,0.54,424.78,48.9,83,71,40.0,20.96,1.55,19.4,-,2.136,0.23,1.91,-,-,-,28.35,70.59,82.0
3102,臺中市,2011/05/26,大里,3.9,0.64,431.12,30.2,76,70,35.0,34.83,6.38,28.45,-,2.337,0.34,2.0,-,-,-,28.5,69.69,73.0
3103,臺中市,2011/05/25,大里,3.4,0.61,423.69,35.7,83,57,29.0,29.92,4.75,25.17,-,2.302,0.35,1.96,-,-,-,27.22,69.25,80.0
3104,臺中市,2011/05/24,大里,2.8,0.61,422.81,27.8,58,34,22.0,28.72,5.25,23.47,-,2.248,0.34,1.91,-,-,-,25.9,75.57,71.0
3105,臺中市,2011/05/23,大里,3.9,0.4,413.61,24.4,40,24,14.0,19.7,3.55,16.14,-,2.15,0.38,1.77,-,-,-,25.83,77.86,49.0
3106,臺中市,2011/05/22,大里,2.6,0.4,430.47,34.0,63,43,27.0,15.97,2.34,13.63,-,2.018,0.16,1.86,-,-,-,27.8,73.56,66.0
3107,臺中市,2011/05/21,大里,3.6,0.53,440.0,49.4,95,59,39.0,20.33,2.54,17.79,-,2.185,0.23,1.96,-,-,-,27.8,69.33,108.0
3108,臺中市,2011/05/20,大里,4.5,0.54,438.79,35.6,69,54,31.0,24.3,5.03,19.27,-,2.323,0.41,1.91,-,-,-,26.52,72.75,69.0
3109,臺中市,2011/05/19,大里,2.3,0.64,443.6,38.1,73,65,36.0,23.54,2.3,21.24,-,2.316,0.35,1.97,-,-,-,26.16,73.07,74.0
3110,臺中市,2011/05/18,大里,4.8,0.61,429.38,39.6,64,54,31.0,23.42,2.05,21.38,-,2.159,0.28,1.88,-,-,-,25.58,72.11,67.0
3111,臺中市,2011/05/17,大里,2.9,0.74,424.04,29.3,38,37,24.0,31.19,3.23,27.96,-,2.379,0.42,1.96,-,-,-,22.02,79.3,41.0
3112,臺中市,2011/05/16,大里,3.6,0.64,429.67,25.2,36,53,30.0,27.77,4.91,22.86,-,2.267,0.25,2.02,-,-,-,24.81,76.55,52.0
3113,臺中市,2011/05/15,大里,3.7,0.64,433.26,25.2,54,71,42.0,30.44,6.12,24.32,-,2.218,0.22,2.0,-,-,-,25.04,78.08,60.0
3114,臺中市,2011/05/14,大里,2.4,0.84,442.6,13.0,27,70,46.0,39.8,9.78,30.02,-,2.487,0.41,2.08,-,-,-,25.44,78.54,60.0
3115,臺中市,2011/05/13,大里,3.3,0.54,424.87,33.6,64,44,31.0,25.02,3.28,21.72,-,2.117,0.25,1.87,-,-,-,29.06,69.38,66.0
3116,臺中市,2011/05/12,大里,-,0.29,406.39,23.9,36,32,16.0,11.13,1.92,9.19,-,1.892,0.16,1.74,-,-,-,30.35,68.06,38.0
3117,臺中市,2011/05/11,大里,1.7,0.3,413.55,23.9,35,36,20.0,11.59,1.9,9.68,-,1.866,0.12,1.75,-,-,-,29.74,64.0,36.0
3118,臺中市,2011/05/10,大里,5.8,0.57,442.81,24.5,53,53,33.0,31.27,7.95,23.32,-,2.275,0.36,1.91,-,-,-,29.99,56.48,72.0
3119,臺中市,2011/05/09,大里,3.1,0.43,432.2,30.5,63,44,26.0,21.0,4.22,16.78,-,2.088,0.21,1.88,-,-,-,29.42,59.6,61.0
3120,臺中市,2011/05/08,大里,2.7,0.44,433.07,27.0,53,43,29.0,18.53,5.56,12.97,-,2.067,0.17,1.9,-,-,-,29.05,62.54,56.0
3121,臺中市,2011/05/07,大里,3.8,0.59,446.5,20.9,56,62,39.0,29.3,11.5,17.8,-,2.228,0.3,1.93,-,-,-,26.91,70.09,74.0
3122,臺中市,2011/05/06,大里,2.2,0.63,438.64,22.9,58,73,45.0,30.39,8.94,21.44,-,2.293,0.34,1.95,-,-,-,25.76,73.51,62.0
3123,臺中市,2011/05/05,大里,3.0,0.66,433.79,21.6,29,62,36.0,30.02,4.39,25.63,-,2.3,0.33,1.97,-,-,-,25.54,74.6,56.0
3124,臺中市,2011/05/04,大里,3.4,0.59,434.8,36.7,74,74,41.0,25.87,3.59,22.28,-,2.218,0.27,1.94,-,-,-,24.91,69.88,80.0
3125,臺中市,2011/05/03,大里,5.6,0.62,437.24,25.3,58,122,53.0,29.66,5.47,24.19,-,2.175,0.28,1.9,-,-,-,26.04,72.05,86.0
